#,Feature,Screen,Description
48,Provider Authentication,Onboarding,Introduces provider app features and verification requirements for new transport partners.
49,Provider Authentication,Login,Allows providers to sign in with email password or Google OAuth.
50,Provider Authentication,Register,Allows transport businesses to register a new provider account with business details.
51,Provider Home,Provider Shell,Main bottom-navigation container with Dashboard Orders Earnings Messages and Profile tabs.
52,Provider Home,Dashboard Tab,Shows today's orders earnings summary pending tasks and quick operational shortcuts.
53,Provider Home,Orders Tab,Lists incoming and active orders with accept decline and detail actions.
54,Provider Home,Earnings Tab,Summarizes revenue completed orders and links to earnings history and payout settings.
55,Provider Home,Messages Tab,Lists conversations with customers on active orders.
56,Provider Home,Profile Tab,Shows provider account business info verification status and profile management links.
57,Provider Orders,Order Detail,Displays full order information customer contact addresses pricing and status action buttons.
58,Provider Orders,Order Tracking,Provider-side map screen for updating location and monitoring route during active transport.
59,Provider Verification,Documents,Upload and manage verification documents such as ID license vehicle registration and insurance.
60,Provider Operations,Schedule,View and update provider availability schedule for accepting new orders.
61,Provider Earnings,Earnings History,Lists historical earnings transactions and completed order payouts.
62,Provider Earnings,Payout Settings,Configure bank account details for receiving earned revenue withdrawals.
63,Provider Profile,Reviews,Displays customer ratings and reviews received with option to respond.
64,Provider Profile,Public Profile,Read-only public provider profile viewable by customers.
65,Provider Notifications,Notifications List,Lists system and order notifications with unread count.
66,Provider Notifications,Notification Detail,Shows full notification content and related order context.
67,Admin Dashboard,Admin Login,Administrator authentication screen for the Next.js admin web dashboard.
68,Admin Dashboard,Dashboard Overview,Displays KPI cards revenue charts order status distribution and latest orders table.
69,Admin Dashboard,User Management,Lists and manages customer and provider accounts with search suspend and activate actions.
70,Admin Dashboard,Provider Verification,Review queue for pending provider documents with approve and reject actions.
71,Admin Dashboard,Order Management,Lists all platform orders with status filters search and navigation to order detail.
72,Admin Dashboard,Order Detail,Shows full order information admin actions including force cancel and refund context.
73,Admin Dashboard,Disputes and Refunds,Manages customer disputes and refund requests with evidence review and resolution actions.
74,Admin Dashboard,Review Management,Moderates customer and marketplace reviews with hide unhide and flag actions.
75,Admin Dashboard,Analytics,Displays revenue GMV order statistics provider performance and commission charts.
76,Admin Dashboard,Notification Management,Create and publish system announcements and broadcast notifications.
77,Admin Dashboard,Activity Logs,Audit trail of admin actions order status changes verifications and refund history.
78,Admin Dashboard,Platform Settings,Configure platform parameters theme preferences and admin account settings.
79,Admin Dashboard,Admin Profile,Administrator profile view and avatar management.
80,Public Website,Landing Page,Public marketing page introducing UniMove services pricing and call-to-action for booking.
81,Public Website,Sign In / Sign Up,Public web authentication entry that redirects users into the customer app registration flow.
82,Public Website,FAQ and Contact,Information pages for frequently asked questions and customer support contact form.
