ID,Use Case,Actors,Use Case Description
UC-31,Pay Pass đồ listing fee,Customer (Seller); Payment Service (PayOS),"Seller pays the listing fee via PayOS when required before the listing becomes publicly visible."
UC-32,Express interest and negotiate deal,Customer (Buyer); Customer (Seller),"Buyer expresses interest in a listing and chats with the seller to negotiate price. Seller confirms the deal with one buyer at the agreed price."
UC-33,Book transport for Pass đồ item,Customer (Buyer),"After deal confirmation, buyer books UniMove transport with pickup fixed to the listing area, delivery to the buyer address, and standard or combo booking flow."
UC-34,Confirm received and rate seller,Customer (Buyer),"Buyer confirms item receipt after delivery and rates the seller. The listing is marked as completed."
UC-35,Manage Pass đồ listing,Customer (Seller),"Seller updates listing status (active, hidden, reserved, closed), bumps listing visibility, and views interested buyers."
UC-36,Register provider account,Provider,"Transport business registers via the Provider Mobile App with business information and documents. Account is created with provider role and pending verification status."
UC-37,Provider log in,Provider,"Provider signs in with email and password or Google. The system issues a JWT for provider-scoped API access."
UC-38,Upload verification documents,Provider,"Provider uploads license, ID card, vehicle registration, and insurance documents for admin review."
UC-39,View verification status,Provider,"Provider tracks verification state as pending, approved, or rejected, including admin notes."
UC-40,View provider dashboard,Provider,"Provider views today's orders, earnings summary, and key operational metrics on the dashboard."
UC-41,Accept or decline order,Provider,"Provider reviews new order requests and accepts or declines them with an optional reason. Customer is notified of the decision."
UC-42,View order detail,Provider,"Provider views customer contact, pickup and delivery addresses, items, pricing, and chat for a specific order."
UC-43,Execute transport service,Provider,"Provider starts the move, sends real-time GPS location, uploads delivery proof photo, and marks the order as completed."
UC-44,Chat with customer,Provider; Customer,"Provider exchanges messages with the customer on an active order or related marketplace context."
UC-45,View earnings and payout settings,Provider,"Provider views earnings history, available balance, and configures bank account details for payout."
UC-46,Manage service packages,Provider,"Provider creates and edits service packages including vehicle size, base price, per-km rate, helpers, and insurance options."
UC-47,Manage provider schedule,Provider,"Provider views and updates availability schedule to control when new orders can be accepted."
UC-48,Submit quote and respond to reviews,Provider,"Provider submits price quotes for quotation-based orders and views or responds to customer reviews."
UC-49,Admin log in,Administrator,"Administrator authenticates to the Admin Web Dashboard with admin role credentials."
UC-50,View admin dashboard,Administrator,"Administrator views KPIs such as GMV, revenue, order count, active users and providers, commission, and summary charts."
UC-51,Manage customers,Administrator,"Administrator searches, views, and updates customer accounts including suspend or activate actions."
UC-52,Manage and verify providers,Administrator,"Administrator lists providers, reviews uploaded documents, and approves or rejects provider verification with notes."
UC-53,Manage orders,Administrator,"Administrator views all platform orders, filters by status, inspects order detail, and force-cancels orders when required."
UC-54,Handle disputes and refunds,Administrator; Payment Service (PayOS),"Administrator reviews dispute evidence and chat logs, decides resolution, and approves full or partial refunds processed via PayOS."
UC-55,Manage reviews,Administrator,"Administrator moderates customer and marketplace reviews by hiding, unhiding, or flagging policy-violating content."
UC-56,Send system notifications,Administrator,"Administrator creates and publishes system announcements or targeted notifications to users."
UC-57,View analytics and activity logs,Administrator,"Administrator views revenue analytics, provider performance, order statistics, and audit logs of admin actions."
UC-58,Approve provider withdrawals,Administrator,"Administrator reviews and approves or rejects provider withdrawal requests for earned revenue."
UC-59,Access public website,Guest,"Visitor views the public marketing website with service introduction, pricing information, FAQ, and contact support."
UC-60,Register or log in from website,Guest,"Visitor creates an account or signs in from the public website entry point and is redirected to the app authentication flow."
UC-61,Authenticate JWT and authorize roles,System,"Node.js API validates Bearer JWT on protected routes and enforces role-based access for customer, provider, and admin."
UC-62,Process payments via PayOS,System; Payment Service (PayOS),"System creates PayOS payments, handles webhooks idempotently, and updates payment and order status including deposits and refunds."
UC-63,Sync real-time tracking and chat,System,"System stores and distributes provider location updates and chat messages between participants in near real-time."
UC-64,Send push notifications,System,"System sends FCM push notifications triggered by order, chat, payment, and marketplace events."
UC-65,Provide map services and file storage,System; Google Maps,"System provides address autocomplete, geocoding, and routing via Google Maps API, and uploads images to cloud storage for avatars, listings, and documents."
